OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
POC11011	6	POC11011_L376.avi	85762	POC11011_R375.avi	84354	57.17467	timeseabed	49.80133	225.88980	2.35112	1.71770	1806.28533	12.88167	27.37180	0.15035	375.67690	-145.00441	-1760.82574	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	7	POC11011_L376.avi	85762	POC11011_R375.avi	84354	57.17467	timeseabed	49.80133	198.34785	2.43690	3.16271	1635.70953	14.56661	39.96206	14.03671	409.56990	-38.65301	-1583.13111	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	8	POC11011_L376.avi	85767	POC11011_R375.avi	84359	57.17800	timeseabed	49.80467	235.43254	2.21333	1.85050	1417.95598	10.30565	48.22053	9.79579	-232.60058	-101.22301	-1395.08065	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	9	POC11011_L376.avi	85786	POC11011_R375.avi	84378	57.19067	timeseabed	49.81733	208.81970	0.92005	2.47232	1696.91647	4.26890	3.74148	3.78237	97.26908	80.58510	-1692.20870	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	10	POC11011_L376.avi	85786	POC11011_R375.avi	84378	57.19067	timeseabed	49.81733	235.24709	1.78427	2.78141	1870.83451	8.28314	16.44996	2.17331	241.32407	-120.01971	-1851.31838	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	11	POC11011_L376.avi	85828	POC11011_R375.avi	84420	57.21867	timeseabed	49.84533	190.83656	1.99802	0.10304	1714.15014	16.01206	25.39884	12.47831	471.26733	38.41719	-1647.64739	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	12	POC11011_L376.avi	85828	POC11011_R375.avi	84420	57.21867	timeseabed	49.84533	255.42386	3.51411	1.91946	2157.59157	18.03427	31.11736	2.78280	665.61689	-55.89629	-2051.59235	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	13	POC11011_L376.avi	85850	POC11011_R375.avi	84442	57.23333	timeseabed	49.86000	294.13421	4.75740	3.83141	2267.19003	3.36683	38.52423	6.15482	-120.93169	-55.71439	-2263.27685	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC11011	14	POC11011_L376.avi	85866	POC11011_R375.avi	84458	57.24400	timeseabed	49.87067	253.72794	0.85244	0.47429	1189.19532	12.07830	15.09740	6.67981	241.30436	-60.76251	-1162.86957	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24006	0	POC24006_L367.avi	15084	POC24006_R368.avi	13885	10.05600	TimeSeaBed	3.44400	341.61371	0.83670	1.65695	950.58488	3.03231	31.32793	5.84041	-39.90870	-30.59228	-949.25393	Synodontidae	Saurida	undosquamis	37118001	1	AD	Passing			
POC24006	1	POC24006_L367.avi	66145	POC24006_R368.avi	64946	44.09667	TimeSeaBed	37.48467	176.70993	1.63930	1.29888	1955.55439	10.11886	12.20593	8.73683	298.38616	170.31730	-1925.13654	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24006	2	POC24006_L367.avi	66145	POC24006_R368.avi	64946	44.09667	TimeSeaBed	37.48467	188.41374	4.33070	2.89602	2471.90688	15.19523	28.48419	6.22064	632.96392	138.35552	-2385.48487	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24006	3	POC24006_L367.avi	66145	POC24006_R368.avi	64946	44.09667	TimeSeaBed	37.48467	174.86217	1.79223	2.05984	2047.85451	15.02835	8.31009	1.49910	-512.67639	138.29824	-1977.81309	Carangidae	Carangoides	chrysophrys	37337011	1	AD	Passing			
POC24006	6	POC24006_L367.avi	70414	POC24006_R368.avi	69215	46.94267	TimeSeaBed	40.33067	372.59289	1.65742	1.73174	1992.66814	13.89232	6.37955	3.41028	476.57335	-42.17179	-1934.37992	Tetraodontidae	Lagocephalus	lunaris	37467012	1	AD	Passing			
