Dot Point Measurements																									
																									
"Generated: Tuesday, November 20, 2018 15:07:32"																									
																									
Filename	Frame	Time (mins)	Image row	Image col	Date	Location	Site #	Transect #	Latitude	Longitude	Rugosity	Depth	Collector	Fishing status	Spare	Spare	Broad	Morphology	Type	FieldOfView	Relief	Bedforms	Bedform.type	CODE	Radius %
POC11004_R368.avi	27832	2113.1427	136	1727													Open Water			Open					100
POC11004_R368.avi	27832	2113.1427	405	1727													Open Water			Open					89.8
POC11004_R368.avi	27832	2113.1427	675	1727													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	89.8
POC11004_R368.avi	27832	2113.1427	944	1727													Unconsolidated	Sand / mud (coarse sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001014	100
POC11005_L372.avi	47270	4204.3673	136	193													Open Water			Open					100
POC11005_L372.avi	47270	4204.3673	405	193													Open Water			Open					89.8
POC11005_L372.avi	47270	4204.3673	675	193													Open Water			Open					89.8
POC11005_L372.avi	47270	4204.3673	944	193													Octocoral/Black	Branching (3D)	Type 1	Open	3. Good relief structure with some overhangs. >45 substrate slope.	None		11168902	100
POC11005_L372.avi	47270	4204.3673	136	576													Open Water			Open					64.3
POC11005_L372.avi	47270	4204.3673	405	576													Open Water			Open					46.9
POC11005_L372.avi	47270	4204.3673	675	576													Open Water			Open					46.9
POC11005_L372.avi	47270	4204.3673	944	576													Octocoral/Black	Branching (3D)	Type 2	Open	3. Good relief structure with some overhangs. >45 substrate slope.	None		11168902	64.3
POC11005_L372.avi	47270	4204.3673	136	960													Open Water			Open					46.6
POC11005_L372.avi	47270	4204.3673	405	960													Open Water			Open					15.5
POC11005_L372.avi	47270	4204.3673	675	960													Open Water			Open					15.5
POC11005_L372.avi	47270	4204.3673	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11005_L372.avi	47270	4204.3673	136	1344													Open Water			Open					64.3
POC11005_L372.avi	47270	4204.3673	405	1344													Open Water			Open					46.9
POC11005_L372.avi	47270	4204.3673	675	1344													Open Water			Open					46.9
POC11005_L372.avi	47270	4204.3673	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11005_L372.avi	47270	4204.3673	136	1727													Open Water			Open					100
POC11005_L372.avi	47270	4204.3673	405	1727													Open Water			Open					89.8
POC11005_L372.avi	47270	4204.3673	675	1727													Open Water			Open					89.8
POC11005_L372.avi	47270	4204.3673	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11009_L376.avi	18255	12.17	136	193													Open Water			Open					100
POC11009_L376.avi	18255	12.17	405	193													Open Water			Open					89.8
POC11009_L376.avi	18255	12.17	675	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11009_L376.avi	18255	12.17	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11009_L376.avi	18255	12.17	136	576													Open Water			Open					64.3
POC11009_L376.avi	18255	12.17	405	576													Open Water			Open					46.9
POC11009_L376.avi	18255	12.17	675	576													Unconsolidated	Sand / mud (fine sand)		Open	1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Bioturbated		82001015	46.9
POC11009_L376.avi	18255	12.17	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11009_L376.avi	18255	12.17	136	960													Open Water			Open					46.6
POC11009_L376.avi	18255	12.17	405	960													Open Water			Open					15.5
POC11009_L376.avi	18255	12.17	675	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	15.5
POC11009_L376.avi	18255	12.17	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11009_L376.avi	18255	12.17	136	1344													Open Water			Open					64.3
POC11009_L376.avi	18255	12.17	405	1344													Open Water			Open					46.9
POC11009_L376.avi	18255	12.17	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11009_L376.avi	18255	12.17	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11009_L376.avi	18255	12.17	136	1727													Open Water			Open					100
POC11009_L376.avi	18255	12.17	405	1727													Open Water			Open					89.8
POC11009_L376.avi	18255	12.17	675	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11009_L376.avi	18255	12.17	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11010_R368.avi	14601	117.4053	136	193													Open Water			Open					100
POC11010_R368.avi	14601	117.4053	405	193													Open Water			Open					89.8
POC11010_R368.avi	14601	117.4053	675	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11010_R368.avi	14601	117.4053	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11010_R368.avi	14601	117.4053	136	576													Open Water			Open					64.3
POC11010_R368.avi	14601	117.4053	405	576													Open Water			Open					46.9
POC11010_R368.avi	14601	117.4053	675	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11010_R368.avi	14601	117.4053	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11010_R368.avi	14601	117.4053	136	960													Open Water			Open					46.6
POC11010_R368.avi	14601	117.4053	405	960													Open Water			Open					15.5
POC11010_R368.avi	14601	117.4053	675	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	15.5
POC11010_R368.avi	14601	117.4053	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11010_R368.avi	14601	117.4053	136	1344													Open Water			Open					64.3
POC11010_R368.avi	14601	117.4053	405	1344													Open Water			Open					46.9
POC11010_R368.avi	14601	117.4053	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11010_R368.avi	14601	117.4053	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11010_R368.avi	14601	117.4053	136	1727													Open Water			Open					100
POC11010_R368.avi	14601	117.4053	405	1727													Open Water			Open					89.8
POC11010_R368.avi	14601	117.4053	675	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11010_R368.avi	14601	117.4053	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11011_L376.avi	58253	2235.0367	136	193													Open Water			Open					100
POC11011_L376.avi	58253	2235.0367	405	193													Open Water			Open					89.8
POC11011_L376.avi	58253	2235.0367	675	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11011_L376.avi	58253	2235.0367	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11011_L376.avi	58253	2235.0367	136	576													Open Water			Open					64.3
POC11011_L376.avi	58253	2235.0367	405	576													Open Water			Open					46.9
POC11011_L376.avi	58253	2235.0367	675	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11011_L376.avi	58253	2235.0367	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11011_L376.avi	58253	2235.0367	136	960													Open Water			Open					46.6
POC11011_L376.avi	58253	2235.0367	405	960													Open Water			Open					15.5
POC11011_L376.avi	58253	2235.0367	675	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	15.5
POC11011_L376.avi	58253	2235.0367	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11011_L376.avi	58253	2235.0367	136	1344													Open Water			Open					64.3
POC11011_L376.avi	58253	2235.0367	405	1344													Open Water			Open					46.9
POC11011_L376.avi	58253	2235.0367	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11011_L376.avi	58253	2235.0367	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11011_L376.avi	58253	2235.0367	136	1727													Open Water			Open					100
POC11011_L376.avi	58253	2235.0367	405	1727													Open Water			Open					89.8
POC11011_L376.avi	58253	2235.0367	675	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11011_L376.avi	58253	2235.0367	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11012_L374.avi	24524	2294.446	136	193													Open Water			Open					100
POC11012_L374.avi	24524	2294.446	405	193													Open Water			Open					89.8
POC11012_L374.avi	24524	2294.446	675	193													Open Water			Open					89.8
POC11012_L374.avi	24524	2294.446	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11012_L374.avi	24524	2294.446	136	576													Open Water			Open					64.3
POC11012_L374.avi	24524	2294.446	405	576													Open Water			Open					46.9
POC11012_L374.avi	24524	2294.446	675	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11012_L374.avi	24524	2294.446	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11012_L374.avi	24524	2294.446	136	960													Open Water			Open					46.6
POC11012_L374.avi	24524	2294.446	405	960													Open Water			Open					15.5
POC11012_L374.avi	24524	2294.446	675	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	15.5
POC11012_L374.avi	24524	2294.446	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11012_L374.avi	24524	2294.446	136	1344													Open Water			Open					64.3
POC11012_L374.avi	24524	2294.446	405	1344													Open Water			Open					46.9
POC11012_L374.avi	24524	2294.446	675	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.9
POC11012_L374.avi	24524	2294.446	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11012_L374.avi	24524	2294.446	136	1727													Open Water			Open					100
POC11012_L374.avi	24524	2294.446	405	1727													Open Water			Open					89.8
POC11012_L374.avi	24524	2294.446	675	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	89.8
POC11012_L374.avi	24524	2294.446	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11013_L.avi	78534	4930.0167	136	193													Open Water			Open					100
POC11013_L.avi	78534	4930.0167	405	193													Open Water			Open					89.8
POC11013_L.avi	78534	4930.0167	675	193													Open Water			Open					89.8
POC11013_L.avi	78534	4930.0167	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11013_L.avi	78534	4930.0167	136	576													Open Water			Open					64.3
POC11013_L.avi	78534	4930.0167	405	576													Open Water			Open					46.9
POC11013_L.avi	78534	4930.0167	675	576													Open Water			Open					46.9
POC11013_L.avi	78534	4930.0167	944	576													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11013_L.avi	78534	4930.0167	136	960													Open Water			Open					46.6
POC11013_L.avi	78534	4930.0167	405	960													Open Water			Open					15.5
POC11013_L.avi	78534	4930.0167	675	960													Open Water			Open					15.5
POC11013_L.avi	78534	4930.0167	944	960													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	46.6
POC11013_L.avi	78534	4930.0167	136	1344													Open Water			Open					64.3
POC11013_L.avi	78534	4930.0167	405	1344													Open Water			Open					46.9
POC11013_L.avi	78534	4930.0167	675	1344													Open Water			Open					46.9
POC11013_L.avi	78534	4930.0167	944	1344													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	64.3
POC11013_L.avi	78534	4930.0167	136	1727													Open Water			Open					100
POC11013_L.avi	78534	4930.0167	405	1727													Open Water			Open					89.8
POC11013_L.avi	78534	4930.0167	675	1727													Open Water			Open					89.8
POC11013_L.avi	78534	4930.0167	944	1727													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11014_L.avi	52529	5004.1347	136	193													Open Water			Open					100
POC11014_L.avi	52529	5004.1347	405	193													Open Water			Open					89.8
POC11014_L.avi	52529	5004.1347	675	193													Open Water			Open					89.8
POC11014_L.avi	52529	5004.1347	944	193													Unconsolidated	Sand / mud (fine sand)		Open	"0. Flat substrate, sandy, rubble with few features. ~0 substrate slope."	None		82001015	100
POC11014_L.avi	52529	5004.1347	136	576													Open Water			Open					64.3
POC11014_L.avi	52529	5004.1347	405	576													Open Water			Open					46.9
POC11014_L.avi	52529	5004.1347	675	576													Open Water			Open					46.9
