OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
POC24008	0	0	827.46699	535.38462	820.55222	523.84615
POC24008	1	0	1594.82473	300.69231	1694.88595	232.69231
POC24008	1	1	1748.10204	292.23077	1858.91957	202.30769
POC24008	2	0	1516.02041	737.61538	1232.62425	727.30769
POC24008	2	1	1630.11405	730.30769	1337.49820	718.07692
POC24008	3	0	1410.61224	516.92308	1166.29052	510.00000
POC24008	4	0	756.01441	632.30769	677.64706	625.38462
POC24008	5	0	1032.60504	722.30769	742.18487	717.69231
POC24008	5	1	1265.40216	544.61538	1094.83794	533.07692
POC24008	6	0	410.27611	856.15385	133.68547	858.46154
POC24008	6	1	696.08643	805.38462	518.60744	803.07692
POC24008	7	0	354.95798	747.69231	200.52821	750.00000
POC24008	8	0	401.05642	678.46154	221.27251	683.07692
POC24008	9	0	82.97719	773.07692	59.92797	768.46154
POC13001	0	0	1428.86598	535.67010	1479.58763	497.31959
POC13001	1	0	94.02062	921.64948	19.79381	896.90722
POC13001	2	0	329.07216	840.00000	76.70103	830.10309
POC13001	2	1	580.20619	775.67010	385.97938	767.01031
POC13001	3	0	684.12371	560.41237	695.25773	556.70103
POC13001	3	1	162.06186	744.74227	134.84536	738.55670
POC13001	4	0	861.03093	723.71134	846.18557	702.68041
POC13001	4	1	613.60825	729.89691	675.46392	711.34021
POC13001	5	0	849.89691	689.07216	512.16495	695.25773
POC13001	5	1	1238.35052	742.26804	765.77320	733.60825
POC13001	6	0	691.03882	735.44776	487.55509	735.44776
POC13001	7	0	994.27597	701.60448	627.45226	710.23134
POC13001	7	1	1339.79538	714.70149	1003.19203	710.23134
POC13001	8	0	1716.47114	935.93284	1079.59182	939.96269
POC13001	8	1	1235.96747	936.94030	548.23924	961.11940
POC13001	9	0	203.48374	572.23881	247.80693	576.26866
POC13001	10	0	741.03093	353.81443	489.89691	368.65979
POC13001	11	0	1816.24344	105.78358	1659.09759	39.29104
POC13001	11	1	1540.23085	62.46269	1406.25393	4.02985
POC13001	12	0	1078.86254	578.57463	883.11333	575.21642
POC13001	12	1	815.94544	526.18657	655.45331	531.89552
POC13001	13	0	1277.31375	294.17910	1144.34418	270.00000
POC13001	13	1	1073.83001	306.26866	940.86044	286.11940
POC13001	14	0	952.94858	521.86567	815.94963	509.77612
POC13001	14	1	751.47954	513.80597	626.56873	511.79104
POC13001	15	0	157.14586	509.77612	56.41133	533.95522
POC13001	15	1	408.98216	521.86567	267.95383	548.05970
POC13001	16	0	531.95876	920.41237	330.30928	872.16495
POC13001	17	0	1480.79748	758.61940	1087.47429	752.61194
POC13001	17	1	895.89297	603.08209	511.44491	596.88806
POC13001	18	0	1291.09129	509.88806	1445.54040	464.61194
POC13001	18	1	1204.45960	521.97761	1339.76915	485.76866
POC13001	19	0	1122.53305	735.19403	706.17314	734.80597
POC13001	19	1	1303.85519	737.20896	801.87093	743.87313
POC13001	20	0	1232.16495	675.46392	1298.96907	655.67010
POC25004	0	0	1172.54984	493.65672	648.73033	533.95522
POC25004	1	0	1573.47324	685.07463	1529.15005	753.58209
POC25004	2	0	1736.66317	735.44776	1652.04617	824.10448
POC25004	3	0	1823.29486	660.89552	1750.76600	759.62687
POC25004	4	0	1885.75026	675.00000	1795.08919	759.62687
POC25004	5	0	64.47009	737.46269	227.66002	735.44776
POC25004	6	0	1508.80063	332.58955	1447.80797	381.75373
POC25004	6	1	1770.71039	282.21642	1706.69570	341.45522
POC25004	7	0	71.52151	480.24254	251.59077	515.35448
POC25004	7	1	254.35467	453.54478	408.23295	494.19776
POC25004	8	0	920.71354	449.32836	1116.13851	477.53731
POC25004	9	0	60.94439	498.76119	237.73347	521.86567
POC25004	10	0	1267.24029	741.49254	886.46380	807.98507
POC25004	10	1	1523.10598	368.73134	1245.07870	445.29851
POC25004	11	0	793.78804	558.13433	691.03882	604.47761
POC25004	11	1	402.93809	586.34328	290.11542	622.61194
POC25004	12	0	328.39454	433.20896	499.64323	457.38806
POC25004	13	0	1484.82686	441.26866	1396.18048	501.71642
POC25004	13	1	1885.75026	429.17910	1778.97167	501.71642
POC25004	14	0	1476.76810	463.43284	1392.15110	519.85075
POC25004	15	0	1780.98636	179.32836	1595.63484	151.11940
POC25004	16	0	1883.73557	243.80597	6.04407	372.76119
POC25004	17	0	1186.65268	40.29851	1001.30115	84.62687
POC25004	18	0	1128.22665	253.88060	1245.07870	278.05970
POC37004	0	0	1452.10084	597.69231	1150.15606	613.84615
POC37004	0	1	1790.92437	572.30769	1530.46819	579.23077
POC37004	1	0	1249.26771	780.00000	1002.64106	791.53846
POC37004	1	1	1265.40216	579.23077	1122.49700	595.38462
POC37004	2	0	1276.92677	747.69231	1087.92317	761.53846
POC37004	2	1	1518.94358	699.23077	1385.25810	713.07692
POC37004	3	0	1240.04802	696.92308	1097.14286	717.69231
POC37004	4	0	348.04322	789.23077	354.95798	773.07692
POC37004	4	1	815.94238	745.38462	767.53902	745.38462
POC37004	5	0	1034.90996	609.23077	970.37215	616.15385
POC37004	5	1	1382.95318	602.30769	1385.25810	613.84615
POC37004	6	0	1067.17887	846.92308	850.51621	851.53846
POC37004	6	1	1297.67107	600.00000	1219.30372	609.23077
POC37004	6	2	1532.77311	530.76923	1514.33373	540.00000
POC37004	6	3	1788.61945	544.61538	1813.97359	549.23077
POC37004	7	0	246.62665	807.69231	318.07923	777.69231
POC37004	7	1	6.91477	223.84615	156.73469	265.38462
POC37004	8	0	486.46098	442.07692	151.35654	447.07692
POC37004	8	1	430.08283	304.92308	91.04442	325.23077
POC13002	0	0	409.40270	812.46575	319.38343	807.53425
POC13002	0	1	155.37572	835.89041	67.82274	813.69863
POC13002	1	0	78.57293	763.65672	4.02938	737.46269
POC13002	1	1	503.67261	677.01493	352.57083	681.04478
POC13002	2	0	80.58762	721.34328	302.20357	701.19403
POC13002	3	0	1011.37461	723.35821	370.70304	717.31343
POC13002	4	0	196.06936	462.32877	441.46435	475.89041
POC13002	5	0	161.17524	469.47761	312.27702	479.55224
POC13002	6	0	918.69885	227.68657	1114.12382	237.76119
POC13002	7	0	1361.93075	531.94030	1462.66527	540.00000
POC13002	7	1	1573.47324	529.92537	1666.14900	544.02985
POC13002	8	0	1133.40818	589.11194	921.13641	593.64179
POC13002	8	1	1365.09759	538.73881	1108.50262	535.20896
POC13002	9	0	1233.51102	836.19403	1094.93809	848.28358
POC13002	9	1	1503.47954	828.13433	1313.53200	851.30597
POC13002	10	0	1402.22455	975.22388	952.94858	999.40299
POC13002	10	1	1124.19727	983.28358	614.48059	979.25373
POC13002	11	0	1278.33473	786.82836	1089.94753	793.88060
POC13002	11	1	1491.89192	694.14179	1339.76915	711.26866
POC13002	12	0	1396.18048	689.10448	1299.47534	697.16418
POC13002	12	1	1871.64743	731.41791	1772.92760	755.59701
POC13002	13	0	1333.72508	658.88060	874.37566	658.88060
POC13002	13	1	799.83211	719.32836	388.83526	707.23881
POC26005	0	0	779.06363	842.30769	414.88595	821.53846
POC26005	0	1	583.14526	897.69231	184.39376	853.84615
POC26005	1	0	513.35054	819.34615	354.63986	782.53846
POC26005	1	1	394.07083	843.00000	223.83553	795.23077
POC26005	2	0	1071.65786	894.34615	695.33493	901.42308
POC26005	2	1	959.29292	898.96154	587.57983	893.92308
POC26005	3	0	1070.74550	819.00000	632.71188	819.00000
POC26005	3	1	785.97839	330.00000	311.16447	330.00000
POC26005	4	0	967.99880	484.15385	848.21128	484.61538
POC26005	4	1	216.66267	634.61538	73.75750	586.15385
POC26005	5	0	1518.94358	766.15385	988.81152	803.07692
POC26005	5	1	467.89916	597.69231	428.71549	581.53846
POC26005	6	0	1834.71789	279.23077	1784.00960	304.61538
POC26005	6	1	378.00720	475.38462	80.67227	473.07692
POC26005	7	0	859.73589	295.38462	926.57863	323.07692
POC26005	7	1	1187.03481	85.38462	1249.26771	96.92308
POC26005	8	0	647.68307	597.69231	583.14526	581.53846
POC26005	8	1	412.58103	604.61538	382.61705	576.92308
POC26005	9	0	1641.10444	556.15385	1532.77311	600.00000
POC26005	9	1	1410.61224	565.38462	1270.01200	597.69231
POC26005	10	0	668.42737	207.69231	649.98800	214.61538
POC26005	10	1	1145.54622	150.00000	1117.88715	156.92308
POC26005	11	0	626.93878	503.07692	721.44058	500.76923
POC26005	11	1	984.20168	461.53846	1083.31333	468.46154
POC26005	12	0	1267.70708	108.46154	1306.89076	117.69231
POC26005	12	1	1599.61585	177.69231	1680.28812	184.61538
POC26005	13	0	1021.08043	791.53846	610.80432	786.92308
POC26005	13	1	580.84034	789.23077	89.89196	752.30769
POC26005	14	0	1532.77311	1033.84615	366.48259	1043.07692
POC26005	14	1	1329.93998	1063.84615	92.19688	1066.15385
POC12009	0	0	1057.54022	610.30769	1264.79112	577.30769
POC12009	0	1	839.72509	601.07692	1060.80552	569.23077
POC12009	1	0	757.69268	760.15385	774.62545	741.84615
POC12009	1	1	678.17287	754.38462	700.86795	732.61538
POC12009	2	0	1054.24010	1030.38462	598.49580	1033.84615
POC12009	2	1	1144.13205	1022.30769	687.23529	1028.07692
POC12009	3	0	831.99280	769.61538	768.57143	756.61538
POC12009	3	1	320.38415	765.84615	145.21008	763.84615
POC12009	4	0	1265.40216	777.69231	1071.78872	770.76923
POC12009	4	1	725.42377	562.38462	641.18607	559.07692
POC12009	5	0	705.30612	646.15385	679.95198	636.92308
POC12009	5	1	352.65306	602.30769	421.80072	597.69231
POC12009	6	0	327.29892	669.23077	481.72869	648.46154
POC12009	6	1	668.42737	662.30769	769.84394	646.15385
POC12009	7	0	1558.12725	267.69231	1604.22569	205.38462
POC12009	7	1	1117.88715	318.46154	1163.98559	281.53846
POC12009	8	0	1429.05162	669.23077	1286.14646	653.07692
POC12009	8	1	790.58824	588.46154	537.04682	593.07692
POC12009	9	0	1498.19928	452.30769	1853.15726	378.07692
POC12009	9	1	1277.18607	485.76923	1605.37815	431.15385
POC12009	10	0	1346.07443	420.00000	1567.34694	371.53846
POC12009	10	1	1582.32893	355.23077	1869.29172	276.92308
POC12009	11	0	1222.91710	493.65672	1583.54669	439.25373
POC12009	11	1	1079.87408	477.53731	1440.50367	419.10448
POC12009	12	0	1529.34214	397.23077	1833.56543	325.61538
POC12009	12	1	1271.19088	423.76923	1522.40096	370.61538
POC12009	13	0	1406.02881	517.23077	1745.97839	460.61538
POC12009	13	1	1175.53661	498.76923	1484.36975	438.69231
POC12009	14	0	758.31933	586.15385	1031.79112	558.92308
POC12009	14	1	539.35174	558.46154	822.04322	534.69231
POC12009	15	0	502.47299	445.38462	773.63986	428.53846
POC12009	15	1	269.67587	470.76923	576.56903	460.84615
POC12009	16	0	1048.32053	329.07692	1336.93037	280.38462
POC12009	16	1	857.01200	291.00000	1152.53661	258.46154
POC12009	17	0	1704.42812	251.86567	1913.95593	161.19403
POC12009	17	1	1353.87198	259.92537	1553.32634	193.43284
POC13007	0	0	138.29532	782.30769	182.08884	766.15385
POC13007	0	1	431.02041	685.38462	458.67947	683.07692
